,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,latitude,longitude
0,"iPhone X 256GB , UnLocked",$580,2019-11-20 18:49,Yes,"['condition: excellent', 'mobile OS: apple iOS']",post id: 7011042103,False,32.857700,-117.211500
1,Apple iPhone X 256gb excellent in box complete,$450,2019-11-20 17:33,Yes,['mobile OS: apple iOS'],post id: 7019270169,False,33.138800,-117.052000
2,JUST%% WE ARE Tbuy MACKBOOK Iphone BuyeR 8+/ X--neded ['YYg,$0,2019-11-20 14:59,Yes,['mobile OS: apple iOS'],post id: 7022591264,False,32.727200,-117.226800
3,JUST%% WE ARE Tbuy MACKBOOK Iphone BuyeR 8+/ X--neded ['YYg,$0,2019-11-20 14:59,Yes,['mobile OS: apple iOS'],post id: 7022591341,False,32.727200,-117.226800
4,JUST%% WE ARE Tbuy MACKBOOK Iphone BuyeR 8+/ X--neded ['YYg,$0,2019-11-20 14:42,Yes,['mobile OS: apple iOS'],post id: 7022591418,False,32.727200,-117.226800
5,===iPHONE 10 (X)===EXCELLENT COND=== 64GB===TMOBILE===14 months old===,$550,2019-11-20 14:15,Yes,[],post id: 7022245259,True,33.107200,-117.294300
6,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-20 14:06,Yes,['mobile OS: apple iOS'],post id: 7021834325,False,32.778300,-117.133500
7,Apple iPhone X 64GB Black Unlocked,$520,2019-11-20 14:01,Yes,"['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone X', 'size / dimensions: 64']",post id: 7019017555,False,32.750337,-117.204734
8,New BodyGuardz Apple iPhone Xs/X Tempered Glass Screen Protector,$35,2019-11-20 13:28,Yes,"['condition: new', 'make / manufacturer: BodyGuardz']",post id: 7014181278,False,32.966500,-117.249000
9,New BodyGuardz Apple iPhone Xs/X Tempered Glass Screen Protector,$35,2019-11-20 13:28,Yes,"['condition: new', 'make / manufacturer: BodyGuardz']",post id: 7014189427,False,32.966500,-117.249000
10,New BodyGuardz Apple iPhone Xs/X Tempered Glass Screen Protector,$35,2019-11-20 13:28,Yes,"['condition: new', 'make / manufacturer: BodyGuardz']",post id: 7014190543,False,32.966500,-117.249000
11,FIRM PRICE! Brand New Slim Soft Silicone Case for iPhone X or XS,$20,2019-11-20 12:02,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7010362949,False,32.745400,-117.127200
12,"____BIG!!Top buyer=Nwew@X'7'8' unlocked"" iphone buy+++",$0,2019-11-20 11:44,Yes,['mobile OS: apple iOS'],post id: 7009481080,False,32.762400,-117.124200
13,"____BIG!!Top buyer=Nwew@X'7'8' unlocked"" iphone buy+++",$0,2019-11-20 11:44,Yes,['mobile OS: apple iOS'],post id: 7009481364,False,32.762400,-117.124200
14,NIB Luvvitt Clear iPhone X/XS Case,$5,2019-11-20 10:53,Yes,"['condition: new', 'make / manufacturer: luvvitt', 'mobile OS: apple iOS', 'model name / number: iphone X/XS']",post id: 7019510659,True,32.658700,-116.965200
15,iPhone X 256GB / Space Gray / Unlocked GSM Networks (AT&T/T-Mobile),$600,2019-11-20 09:43,Yes,"['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: A1901']",post id: 7023791605,False,32.857700,-117.211500
16,iPhone X 256GB / Space Gray / Unlocked GSM Networks (AT&T/T-Mobile),$600,2019-11-20 09:44,Yes,"['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: A1901']",post id: 7023792316,False,32.857700,-117.211500
17,iPhone X 64gb,$475,2019-11-20 09:21,Yes,"['condition: like new', 'make / manufacturer: iPhone', 'model name / number: X 64bg']",post id: 7022402064,False,33.119300,-117.185000
18,iPhone X,$400,2019-11-20 08:33,Yes,"['condition: like new', 'make / manufacturer: iPhone', 'model name / number: X']",post id: 7023731887,False,33.163900,-117.300900
19,iPhone iPad Samsung Screen LCD Battery Repair XS X 8 8+ 7 7+ 6S 6+ 5SE,$0,2019-11-20 08:31,Yes,"['condition: excellent', 'mobile OS: apple iOS']",post id: 7020484430,False,32.742300,-117.094700
20,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-20 08:11,Yes,['mobile OS: apple iOS'],post id: 7022029118,False,32.778300,-117.133500
21,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-20 08:09,Yes,['mobile OS: apple iOS'],post id: 7022029098,False,32.778300,-117.133500
22,Like New Iphone X Space Gray 256gb Unlocked,$540,2019-11-20 07:57,Yes,"['condition: like new', 'mobile OS: apple iOS']",post id: 7004483736,False,32.631500,-116.940800
23,iPhone X 256GB Space Gray - unlocked,$550,2019-11-20 07:30,Yes,"['condition: excellent', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone X 256GB']",post id: 7016287681,False,32.857700,-117.211500
24,Good**!!~** iPhone ✤✤✤X --with 64gb **!!~**--UNLOCKED==>>200,$0,2019-11-20 05:43,Yes,['mobile OS: apple iOS'],post id: 7023590436,False,32.742300,-117.094700
25,PERFECT✤✤✤iPhone X White UNLOCKED✤✤✤ from Apple Stor==>>200,$0,2019-11-20 05:37,Yes,['mobile OS: apple iOS'],post id: 7023590220,False,32.848600,-116.986200
26,Unlocked iPhone X 64GB Silver,$500,2019-11-19 21:04,Yes,['mobile OS: apple iOS'],post id: 7017903552,False,32.873062,-117.204341
27,LIFEPROOF FRE IPHONE X CASE BRAND NEW!!,$60,2019-11-19 21:02,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7023537820,False,33.053500,-117.268900
28,Like New iPhone X 256GB AppleCare+ (Unlocked),$650,2019-11-19 20:05,Yes,"['condition: like new', 'cryptocurrency ok', 'make / manufacturer: Apple', 'mobile OS: apple iOS']",post id: 7003945173,False,32.795668,-117.243176
29,Iphone x webuy cash offer,$600,2019-11-19 17:51,No,['mobile OS: apple iOS'],post id: 7004349382,True,32.760700,-117.072100
30,iPhone X 256GB,$525,2019-11-19 16:22,Yes,['mobile OS: apple iOS'],post id: 7018137257,True,32.746600,-117.163600
31,Apple iPhone X 256 gb Unlocked black,$575,2019-11-19 14:58,No,"['condition: like new', 'make / manufacturer: APPLE', 'mobile OS: apple iOS', 'model name / number: iphone x']",post id: 7023370309,True,32.916100,-117.140200
32,In perfect condition////Unlocked silver 256gb iPhone X%%%%Single owner,$400,2019-11-19 14:40,Yes,"['condition: excellent', 'mobile OS: apple iOS']",post id: 7023296526,True,32.718500,-117.159300
