,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,latitude,longitude
0,iPhone X 256 GB T-Mobile,$650,2019-11-21 19:36,Yes,"['condition: excellent', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone']",post id: 7024806415,False,32.817800,-116.922300
1,Iphone X 256 Verizon unlocked,$525,2019-11-21 18:12,No,"['condition: excellent', 'mobile OS: apple iOS']",post id: 7024776401,False,33.006700,-117.069000
2,iPhone X 256GB,$525,2019-11-21 17:40,Yes,['mobile OS: apple iOS'],post id: 7018137257,True,32.746600,-117.163600
3,IPhone X Case Game Console Play Gameboy Tetris,$10,2019-11-21 17:20,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7019410343,False,33.006700,-117.069000
4,Ready !!SELL?? iPhone X/8+ %%,$0,2019-11-21 15:55,Yes,"['condition: like new', 'mobile OS: apple iOS']",post id: 7024643056,False,32.742300,-117.094700
5,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 14:43,Yes,['mobile OS: apple iOS'],post id: 7023223708,False,32.778300,-117.133500
6,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 14:43,Yes,['mobile OS: apple iOS'],post id: 7023223812,False,32.778300,-117.133500
7,Slighlty cracked Glass Protector / negotiable,$0,2019-11-21 14:20,Yes,"['make / manufacturer: repair phone iphone', 'mobile OS: apple iOS', 'model name / number: 6 6s 7 8 plus X Xs Max screen']",post id: 7010978573,False,33.089500,-117.112800
8,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 14:10,Yes,"['cryptocurrency ok', 'mobile OS: apple iOS']",post id: 7021851571,False,32.778300,-117.133500
9,Ready !!SELL?? iPhone X/8+ %%,$0,2019-11-21 14:07,Yes,"['condition: like new', 'mobile OS: apple iOS']",post id: 7022970434,False,32.746600,-117.163600
10,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 13:41,Yes,['mobile OS: apple iOS'],post id: 7021851485,False,32.778300,-117.133500
11,Iphone X 64gb - Excellent condition at&t,$520,2019-11-21 13:42,Yes,"['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: X']",post id: 7022864385,False,32.705900,-117.052400
12,Slighlty cracked Glass Protector / negotiable,$0,2019-11-21 13:36,Yes,"['make / manufacturer: repair phone iphone', 'mobile OS: apple iOS', 'model name / number: 6 6s 7 8 plus X Xs Max screen']",post id: 7010978555,False,33.089500,-117.112800
13,BUYRER%% Wan;Ted Phone iPHONE -X-8 Sealed iN BoX.,$0,2019-11-21 13:31,Yes,['mobile OS: apple iOS'],post id: 7014643839,False,32.762400,-117.124200
14,BUYRER%% Wan;Ted Phone iPHONE -X-8 Sealed iN BoX.,$0,2019-11-21 13:31,Yes,['mobile OS: apple iOS'],post id: 7014643856,False,32.762400,-117.124200
15,Ready !!SELL?? iPhone X/8+ %%,$0,2019-11-21 13:19,Yes,"['condition: like new', 'mobile OS: apple iOS']",post id: 7022970440,False,32.746600,-117.163600
16,Slighlty cracked Glass Protector / negotiable,$0,2019-11-21 13:02,Yes,"['make / manufacturer: repair phone iphone', 'mobile OS: apple iOS', 'model name / number: 6 6s 7 8 plus X Xs Max screen']",post id: 7010978542,False,33.089500,-117.112800
17,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 12:57,Yes,['mobile OS: apple iOS'],post id: 7021851539,False,32.778300,-117.133500
18,Slighlty cracked Glass Protector / negotiable,$0,2019-11-21 12:17,Yes,"['make / manufacturer: repair phone iphone', 'mobile OS: apple iOS', 'model name / number: 6 6s 7 8 plus X Xs Max screen']",post id: 7010978540,False,33.089500,-117.112800
19,FIRM PRICE! NO Offers. Brand New Premium Case for iPhone X or XS,$15,2019-11-21 11:28,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7020184038,False,32.745400,-117.127200
20,FIRM PRICE! NO Offers. NEW Case for iPhone X or XS,$15,2019-11-21 10:53,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7015648095,False,32.745400,-117.127200
21,FIRM PRICE! NO Offers. NEW Case for iPhone X or XS,$15,2019-11-21 10:49,Yes,['condition: new'],post id: 7010981108,False,32.745400,-117.127200
22,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-21 10:01,Yes,['mobile OS: apple iOS'],post id: 7022488097,False,32.727200,-117.226800
23,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-21 10:01,Yes,['mobile OS: apple iOS'],post id: 7022488102,False,32.727200,-117.226800
24,"*~*~* FAST & RELIABLE REPAIR*~*~* IPHONE 5 6 7 8 X, SAMSUNG, NOTE,IPAD",$0,2019-11-21 09:57,Yes,"['condition: like new', 'make / manufacturer: IPHONE SCREEN REPAIR', 'mobile OS: apple iOS', 'model name / number: IPHONE SCREEN REPAIR']",post id: 7019411519,False,32.713900,-117.121900
25,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-21 09:41,Yes,['mobile OS: apple iOS'],post id: 7022488033,False,32.727200,-117.226800
26,"*~*~* FAST & RELIABLE REPAIR*~*~* IPHONE 5 6 7 8 X, SAMSUNG, NOTE,IPAD",$0,2019-11-21 09:26,Yes,"['condition: like new', 'make / manufacturer: IPHONE SCREEN REPAIR', 'mobile OS: apple iOS', 'model name / number: IPHONE SCREEN REPAIR']",post id: 7019410634,False,32.713900,-117.121900
27,"*~*~* FAST & RELIABLE REPAIR*~*~* IPHONE 5 6 7 8 X, SAMSUNG, NOTE,IPAD",$0,2019-11-21 09:12,Yes,"['condition: like new', 'make / manufacturer: IPHONE SCREEN REPAIR', 'mobile OS: apple iOS', 'model name / number: IPHONE SCREEN REPAIR']",post id: 7019410746,False,0,0
28,Unlocked iPhone X Silver 256gb Clean for Verizon Super HD camera,$420,2019-11-21 07:31,Yes,"['condition: good', 'mobile OS: apple iOS']",post id: 7024280958,True,32.575300,-117.070700
29,"iPhone X 256GB , UnLocked",$580,2019-11-20 18:49,Yes,"['condition: excellent', 'mobile OS: apple iOS']",post id: 7011042103,False,32.857700,-117.211500
30,JUST%% WE ARE Tbuy MACKBOOK Iphone BuyeR 8+/ X--neded ['YYg,$0,2019-11-20 14:59,Yes,['mobile OS: apple iOS'],post id: 7022591264,False,32.727200,-117.226800
31,JUST%% WE ARE Tbuy MACKBOOK Iphone BuyeR 8+/ X--neded ['YYg,$0,2019-11-20 14:59,Yes,['mobile OS: apple iOS'],post id: 7022591341,False,32.727200,-117.226800
32,JUST%% WE ARE Tbuy MACKBOOK Iphone BuyeR 8+/ X--neded ['YYg,$0,2019-11-20 14:42,Yes,['mobile OS: apple iOS'],post id: 7022591418,False,32.727200,-117.226800
