,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,Samsung Galaxy Note 8,350,2019-11-22 17:28,True,Unknown,7025422687,False,16.442965545872305
1,Samsung Galaxy Note 8,500,2019-11-21 12:53,True,like new,7024592317,False,18.58801538381235
2,"*~*~* FAST & RELIABLE REPAIR*~*~* IPHONE 5 6 7 8 X, SAMSUNG, NOTE,IPAD",0,2019-11-21 09:57,True,like new,7019411519,False,13.369987021648157
3,"*~*~* FAST & RELIABLE REPAIR*~*~* IPHONE 5 6 7 8 X, SAMSUNG, NOTE,IPAD",0,2019-11-21 09:26,True,like new,7019410634,False,13.369987021648157
4,Samsung Galaxy S8/S8 Plus/ S9/ S9 Plus / Note 8/ Note 9 Repair,0,2019-11-20 17:55,True,Unknown,7024124372,True,12.714669937550394
5,Samsung galaxy note 8 black sm-950u 64 gb,360,2019-11-19 13:11,False,good,7023297425,True,6.1423166155169335
6,Samsung Galaxy Note 8,400,2019-11-19 12:35,True,excellent,7021496949,False,12.714669937550394
7,Samsung Note 8 (Verizon),325,2019-11-18 20:25,True,Unknown,7019045483,False,6.1423166155169335
8,Samsung Note 8 (unlocked),345,2019-11-18 14:49,True,like new,7009684726,True,13.168556535602395
9,Galaxy Note 8 - trade 4 - AirPods PRO,1,2019-11-18 12:50,True,Unknown,7022622570,False,15.70633612747318
10,Samsung Note 8 Factory Unlocked,500,2019-11-18 10:49,True,like new,7016404579,False,8.635962173625565
11,Samsung Galaxy Note 8 Unlocked,350,2019-11-17 16:45,True,like new,7022099906,True,23.247891137309747
12,Like New Verizon Samsung Note 8 for sale,250,2019-11-16 15:49,True,like new,7021539121,False,5.8292565744727645
13,Samsung Galaxy S8/S8 Plus/ S9/ S9 Plus / Note 8/ Note 9 Repair,0,2019-11-16 10:45,True,Unknown,7021333691,True,12.714669937550394
14,Samsung Galaxy Note 8 Unlocked 64 GB ( Payless Wireless ),349,2019-11-11 11:49,True,Unknown,7018091550,True,12.714669937550394
15,Like New Galaxy Note 8 black 64gb Unlocked,300,2019-11-23 03:18,True,Unknown,7024174299,False,24.386033887365723
16,CASH for your LOCKED GALAXY S8 S9 S10 Note 8 or 9,350,2019-11-21 21:25,True,Unknown,7018430476,False,12.374731283630094
17,CASH for your LOCKED GALAXY S8 S9 S10 Note 8 or 9,350,2019-11-21 21:25,True,Unknown,7022233621,False,12.374731283630094
18,Note 8 Unlocked | Mint Condition | All Color in stock,349,2019-11-20 17:57,True,Unknown,7024125440,False,12.714669937550394
19,Unlocked Samsung Galaxy Note 9 ( All Colors in Stock ),449,2019-11-11 11:23,True,Unknown,7018067981,True,12.714669937550394
20,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-23 17:03,True,Unknown,7026034235,False,1245.247032431583
21,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-23 16:36,True,Unknown,7026022840,False,1245.247032431583
22,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-23 14:37,True,Unknown,7025963750,False,1245.247032431583
23,Hatteras 74 SDMY - REDUCED,699000,2019-11-23 10:35,True,Unknown,7012128321,True,12.12631917530565
24,Battery power pack,30,2019-11-23 07:36,True,Unknown,7007795247,False,8.141748869787873
25,*NEW* MSI B450I / AMD Ryzen 5 2600X Compact Gaming PC w/ GTX 1060 NVMe,720,2019-11-22 17:40,True,new,7023798716,False,8.38149755343288
26,*NEW* Gigabyte B360 / Intel Core i5-8400 Fortnite Gaming PC w/ RX 580,540,2019-11-22 13:20,True,new,7017493131,False,8.38149755343288
