,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,Galaxy Samsung S7 Unlocked,150,2019-11-24 18:28,True,excellent,7022795407,True,18.94815254045528
1,Samsung Galaxy S8 Illuminated Selfie Case (NEW),12,2019-11-24 14:51,True,new,7007626121,True,23.247891137309747
2,Samsung galaxy s8 plus 64GB Unlocked,250,2019-11-24 10:36,True,Unknown,7026330699,False,13.420966436204997
3,Samsung Galaxy S8 AND note8,300,2019-11-23 10:07,True,good,7022552623,False,19.5404363556601
4,Samsung Galaxy S8 AND note8,300,2019-11-23 10:08,True,good,7022552762,False,19.5404363556601
5,NEW $100 Samsung AKG Headphones --------- New $100 Earbuds,39,2019-11-23 09:54,True,good,7013797482,False,18.544331350715467
6,Samsung Galaxy S8 Plus Boost Mobile,250,2019-11-23 09:05,True,like new,7018675201,True,2.114156881151909
7,Samsung AI Case S-View Flip Cover for Galaxy S8+ - Black,10,2019-11-22 23:15,True,like new,7025518536,False,28.606307367580182
8,Samsung Galaxy S8 Illuminated Selfie Case (NEW),12,2019-11-22 12:37,True,new,7010318895,True,23.247891137309747
9,Samsung S8,175,2019-11-20 22:59,True,good,7024206241,False,8.983985972229219
10,Samsung galaxy S8 Unlocked ( all colors in stock ),249,2019-11-20 18:07,True,Unknown,7024129592,True,12.8509699991551
11,Samsung Galaxy S8/S8 Plus/ S9/ S9 Plus / Note 8/ Note 9 Repair,0,2019-11-20 17:55,True,Unknown,7024124372,True,12.714669937550394
12,Samsung Galaxy S8 Perfect Condition,200,2019-11-20 16:07,True,like new,7024070479,False,8.38149755343288
13,Samsung Galaxy s8 plus,250,2019-11-20 13:04,True,like new,7021025836,False,14.849251339555515
14,SAMSUNG S8 64GB BLACK CRACKED SCREEN GOOD CONDITION,150,2019-11-19 14:22,True,Unknown,7023358080,True,18.58801538381235
15,Samsung Galaxy S8 Illuminated Selfie Case (NEW),12,2019-11-19 07:10,True,new,7019591329,True,23.247891137309747
16,Samsung Galaxy S8,200,2019-11-19 04:51,True,excellent,7021645923,False,9.333879685355683
17,Samsung s8,200,2019-11-18 23:04,True,Unknown,7022902022,False,13.058698165001628
18,Samsung Galaxy S8 Illuminated Selfie Case (NEW),12,2019-11-18 21:11,True,new,7019865471,True,23.247891137309747
19,Samsung Galaxy S8 Illuminated Selfie Case (NEW),12,2019-11-18 07:10,True,new,7022330939,True,23.247891137309747
20,Case for Samsung Galaxy S8+ --- MAKE OFFER,10,2019-11-18 07:00,True,Unknown,7019105649,True,12.12631917530565
21,Samsung Galaxy S8 Illuminated Selfie Case (NEW),12,2019-11-17 13:13,True,new,7021985479,True,23.247891137309747
22,Samsung Galaxy S8/S8 Plus/ S9/ S9 Plus / Note 8/ Note 9 Repair,0,2019-11-16 10:45,True,Unknown,7021333691,True,12.714669937550394
23,Mophie Juice Pack Designed and Made for Galaxy S8+  S8 Plus,20,2019-11-22 09:02,False,like new,7022063573,True,11.36474645482835
24,2017 Samsung Gear 360° 4k camera,80,2019-11-22 08:22,True,like new,7022802191,False,23.542766263304078
25,CASH for your LOCKED GALAXY S8 S9 S10 Note 8 or 9,350,2019-11-21 21:25,True,Unknown,7018430476,False,12.374731283630094
26,CASH for your LOCKED GALAXY S8 S9 S10 Note 8 or 9,350,2019-11-21 21:25,True,Unknown,7022233621,False,12.374731283630094
27,Madroots - Sprint Samsung Domestic/Global Unlocks,60,2019-11-21 21:08,False,Unknown,7024830842,True,16.87822244149898
28,Verizon Galaxy S8 64gb,245,2019-11-21 14:10,True,excellent,7005699638,False,10.524414242987824
29,Samsung Galaxy S9 Plus Unlocked ( all colors in stock),399,2019-11-20 18:09,True,Unknown,7024130632,True,12.714669937550394
30,▇▇▇ WE iPHONE & SAMSUNG ALL CARRIER NEW /USED @ 619-384-0928,999,2019-11-19 22:10,True,Unknown,7023552157,True,9.333879685355683
31,▇▇▇ WE iPHONE & SAMSUNG ALL CARRIER NEW /USED @ 619-384-0928,0,2019-11-19 21:48,True,Unknown,7023548204,True,9.333879685355683
32,▇▇▇ WE iPHONE & SAMSUNG ALL CARRIER NEW /USED @ 619-384-0928,0,2019-11-19 21:44,True,Unknown,7023547436,True,12.687232062916744
33,I Buy iPhones and Samsung,777,2019-11-18 13:40,True,Unknown,7022663031,True,6.984096224975709
34,I Buy iPhones and Samsung,777,2019-11-18 13:33,True,Unknown,7022658231,True,6.984096224975709
35,💗Cheapest in Town iPhone & Samsung Screen Repair & Used Phones Sell💗,25,2019-11-14 08:31,True,like new,7019914154,False,6.119242284165598
36,💗Cheapest in Town iPhone & Samsung Screen Repair & Used Phones Sell💗,25,2019-11-13 08:26,True,like new,7019256925,False,6.119242284165598
37,💗Cheapest in Town iPhone & Samsung Screen Repair & Used Phones Sell💗,25,2019-11-12 08:30,True,like new,7018597157,False,6.119242284165598
38,Samsung Galaxy S9 Plus Unlocked ( all colors in stock),449,2019-11-11 18:41,True,Unknown,7018354384,True,12.714669937550394
39,Samsung Galaxy Note 8 Unlocked 64 GB ( Payless Wireless ),349,2019-11-11 11:49,True,Unknown,7018091550,True,12.714669937550394
40,Unlocked Samsung Galaxy Note 9 ( All Colors in Stock ),449,2019-11-11 11:23,True,Unknown,7018067981,True,12.714669937550394
41,💗Cheapest in Town iPhone & Samsung Screen Repair & Used Phones Sell💗,25,2019-11-11 08:25,True,like new,7017906591,False,6.119242284165598
42,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 19:28,True,Unknown,7026608810,False,1245.247032431583
43,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 17:41,True,Unknown,7026569983,False,1245.247032431583
44,Premium Windshield Car Phone Mount for Tablet/Phones w/ Adjustable Arm,25,2019-11-24 17:19,True,Unknown,7008191334,True,12.12631917530565
45,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 17:10,True,Unknown,7026556882,False,1245.247032431583
46,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 16:02,True,Unknown,7026526101,False,1245.247032431583
47,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 15:23,True,Unknown,7026506652,False,1245.247032431583
48,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 13:57,True,Unknown,7026459290,False,1245.247032431583
49,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 13:39,True,Unknown,7026448601,False,1245.247032431583
50,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-23 17:03,True,Unknown,7026034235,False,1245.247032431583
51,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-23 16:36,True,Unknown,7026022840,False,1245.247032431583
52,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-23 14:37,True,Unknown,7025963750,False,1245.247032431583
53,FIRM PRICE! NEW in a Box HDMI 4K+USB 3.0x2+USB-C Converter Hub,30,2019-11-22 12:39,True,new,7025237944,False,11.36474645482835
54,10000mAh Universal Portable Power Bank Qi Wireless Charger for iPhone,30,2019-11-22 11:55,True,new,7020895449,False,19.85258401851251
55,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,9999,2019-11-22 11:16,True,Unknown,7025174343,False,7.893485586560033
56,FIRM PRICE! Brand New HDMI 4K+USB 3.0x2+USB-C Converter Hub,30,2019-11-21 12:02,True,new,7024554193,False,11.36474645482835
57,FIRM PRICE! NEW in a Package LED Light USB Type C Charging Cable,10,2019-11-21 11:30,True,new,7020177236,False,11.36474645482835
58,Firm Price! Brand New in a Box Tripod with Bluetooth Remote,30,2019-11-21 10:59,True,new,7015892810,True,11.36474645482835
59,Instant cash for junk cars + free towing!                                       ,1,2019-11-21 10:16,True,Unknown,7024472132,True,0.0
60,Iphone - Iphone Buy - Iphone Sell - Iphone Top Buyer - Sell Iphone,12345,2019-11-21 08:56,True,Unknown,7024403798,True,14.573822163862479
61,Cell Phone iPhone Galaxy iPad Repair Service in San Diego near you,1,2019-11-21 08:39,True,new,7024389345,True,6.120917797571515
62,iPhone 6 16 gb unlocked -  ( other color available ),150,2019-11-20 18:18,True,Unknown,7024134185,True,12.714669937550394
63,iPhone 8 Plus Unlocked ( Mint Condition ),449,2019-11-20 18:01,True,Unknown,7024127076,True,12.714669937550394
64,Note 8 Unlocked | Mint Condition | All Color in stock,349,2019-11-20 17:57,True,Unknown,7024125440,False,12.714669937550394
65,FIRM PRICE! Brand New HDMI 4K+USB 3.0x2+USB-C Converter Hub,30,2019-11-20 14:08,True,new,7023997238,False,11.36474645482835
66,2-pack Rapid Rechargeable 10000mAh Battery,18,2019-11-20 09:53,True,new,7023779610,False,11.365064190933605
67,Office Metal Box Lockers Cabinets Storage School Gym  LOCKER Vertical,200,2019-11-19 17:26,True,new,None,False,92.36340209954318
68,FIRM PRICE! NEW in a Box HDMI 4K+USB 3.0x2+USB-C Converter Hub,30,2019-11-19 13:42,True,new,7023329799,False,11.36474645482835
69,I Pay CASH for SmartPhones & Electronics,345,2019-11-18 12:32,True,Unknown,7022611124,True,14.573822163862479
70,iPhone X / XR / XS MAX SCREEN REPAIR,0,2019-11-18 11:41,True,Unknown,7022569121,True,12.906395046452085
71,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-17 19:08,True,Unknown,7022159374,False,1245.247032431583
72,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-17 18:18,True,Unknown,7022140759,False,1245.247032431583
